gauge_id,route_id,gauge_area,route_area,pct_area_bias,flag,riv_name
9653,3038267,   9224.00,   9033.89,     -2.06,0,Coatzacoalcos
9498,3040227,  16000.00,  16111.69,      0.70,0,Natashquan
9774,4039872,   5760.00,   1701.83,    -70.45,1,Hvita (Olfusa)
9543,3042190,  35224.00,  35816.46,      1.68,0,Altamaha
9548,3041062,  20953.00,  21639.41,      3.28,0,Hudson
9523,3040702,  18900.00,  18980.12,      0.42,0,Outardes (R aux
10622,3040366,  17094.00,  16813.84,     -1.64,0,Taku
32151,5027274,   3714.00,   4024.40,      8.36,0,Bueno
9241,1067261,  33670.00,  33399.43,     -0.80,0,Mahi
82837,5031545,  11803.00,  12516.23,      6.04,0,Itajai-Acu
9018,2058217,  23385.00,  24041.97,      2.81,0,Niari
9777,4035456,  30639.00,  31100.80,      1.51,0,Angerman
9772,4029639,   7200.00,   4282.17,    -40.53,1,Thjorsa
9688,3040520,  18176.00,  18005.61,     -0.94,0,Lempa
10002,6020180,  12804.00,  12805.05,      0.01,0,Solo (Bengawan
71761,3041741,  31079.80,  28759.25,     -7.47,0,Noatak
31180,1059004,   6271.00,   6592.98,      5.13,0,Mogami
9532,3041515,  26900.00,  25959.94,     -3.49,0,Arnaud (Payne)
9541,3041504,  25511.00,  26009.01,      1.95,0,Savannah
9683,3035805,   4767.00,   5009.64,      5.09,0,Grande de Terra
9537,3040506,  17560.00,  17809.97,      1.42,0,Delaware
9115,2058607,  26314.00,  26897.38,      2.22,0,Buzi
9793,4035363,  29000.00,  29084.78,      0.29,0,Maas (Meuse)
9540,3041808,  29940.00,  30268.47,      1.10,0,Potomac
31174,1057094,   4956.00,   5112.84,      3.16,0,Kiso
9748,4033557,  12368.00,  12663.92,      2.39,0,Drini
82938,5032111,  15543.00,  15625.71,      0.53,0,Camaqua
9783,4035815,  37788.00,  39325.80,      4.07,0,Weser
9731,6020044,  11395.00,  11523.32,      1.13,0,Waikato
9254,1063803,  15152.00,  14604.84,     -3.61,0,Subarnarekha
9086,2053569,   8250.00,   8634.77,      4.66,0,Wouri
33170,4034249,  16020.00,  16468.58,      2.80,0,Dramselv
9422,5030719,   8690.00,   9649.45,     11.04,0,Daule
9779,4035424,  36535.00,  30197.70,    -17.35,0,Kymi
50001,1063775,  14660.00,  14547.71,     -0.77,0,Sittang
9230,1065399,  19220.00,  20507.22,      6.70,0,Damodar
9833,4034125,  15457.00,  15662.93,      1.33,0,Minho (Mino)
9324,1065929,  22916.00,  23341.36,      1.86,0,Nagdong (Nakdon
9401,5031718,  13147.00,  13426.37,      2.12,0,Pata
81219,5033274,  23070.00,  25159.01,      9.06,0,Bacaja
9546,3040440,  17024.00,  17489.62,      2.74,0,Pearl
9544,3040484,  17068.00,  17729.69,      3.88,0,Pascagoula
9538,3041224,  22870.00,  23083.89,      0.94,0,Pee Dee
95968,4035310,  27700.00,  27828.12,      0.46,0,Kem
31577,6016392,   3302.00,   2419.98,    -26.71,0,Waiau (S)
71746,1045408,  26700.00,   1688.31,    -93.68,1,Anadyr Kolyma
9091,2057172,  18100.00,  18235.96,      0.75,0,Ntem
80364,1066533,  26449.00,  27357.70,      3.44,0,Mae Klong
9290,6018202,   4244.00,   4411.00,      3.93,0,Cagayan
9332,1060048,   7281.00,   7719.54,      6.02,0,Yodo
9965,2055324,  11800.00,  12068.68,      2.28,0,Betsiboka
